strike,expiration,tau,bid,ask,mid_price,implied_vol,volume,openInterest,S0,r
270.0,2026-06-05,0.03285420944558522,37.85,40.45,39.150000000000006,0.5754436987304687,73.0,1451,308.82000732421875,0.035850000381469724
280.0,2026-06-05,0.03285420944558522,29.0,30.55,29.775,0.46631393066406257,82.0,2157,308.82000732421875,0.035850000381469724
285.0,2026-06-05,0.03285420944558522,23.7,25.65,24.674999999999997,0.4138242211914062,288.0,1779,308.82000732421875,0.035850000381469724
290.0,2026-06-05,0.03285420944558522,19.4,20.75,20.075,0.3587710607910156,129.0,1501,308.82000732421875,0.035850000381469724
295.0,2026-06-05,0.03285420944558522,14.85,16.0,15.425,0.3094551477050781,245.0,3605,308.82000732421875,0.035850000381469724
300.0,2026-06-05,0.03285420944558522,10.8,11.5,11.15,0.2662426892089844,2584.0,4948,308.82000732421875,0.035850000381469724
305.0,2026-06-05,0.03285420944558522,7.1,7.8,7.449999999999999,0.2461012890625,3869.0,7093,308.82000732421875,0.035850000381469724
310.0,2026-06-05,0.03285420944558522,4.35,4.55,4.449999999999999,0.21973436523437498,5194.0,14089,308.82000732421875,0.035850000381469724
315.0,2026-06-05,0.03285420944558522,2.26,2.54,2.4,0.21460746337890624,3630.0,4734,308.82000732421875,0.035850000381469724
320.0,2026-06-05,0.03285420944558522,1.15,1.29,1.22,0.21204401245117185,5511.0,2520,308.82000732421875,0.035850000381469724
325.0,2026-06-05,0.03285420944558522,0.5,0.63,0.565,0.21411918701171873,1135.0,4390,308.82000732421875,0.035850000381469724
330.0,2026-06-05,0.03285420944558522,0.25,0.3,0.275,0.21851367431640623,1217.0,1547,308.82000732421875,0.035850000381469724
335.0,2026-06-05,0.03285420944558522,0.08,0.15,0.11499999999999999,0.22657023437499998,1129.0,1693,308.82000732421875,0.035850000381469724
340.0,2026-06-05,0.03285420944558522,0.06,0.1,0.08,0.24414818359375,82.0,328,308.82000732421875,0.035850000381469724
285.0,2026-06-12,0.05201916495550993,24.9,26.3,25.6,0.37134417724609375,73.0,1519,308.82000732421875,0.035850000381469724
290.0,2026-06-12,0.05201916495550993,20.4,21.65,21.025,0.335944140625,1621.0,2502,308.82000732421875,0.035850000381469724
295.0,2026-06-12,0.05201916495550993,16.15,17.2,16.674999999999997,0.3042672113037109,310.0,4343,308.82000732421875,0.035850000381469724
300.0,2026-06-12,0.05201916495550993,12.3,13.0,12.65,0.2747875256347656,794.0,5295,308.82000732421875,0.035850000381469724
305.0,2026-06-12,0.05201916495550993,8.85,9.25,9.05,0.25049577636718745,1870.0,6212,308.82000732421875,0.035850000381469724
310.0,2026-06-12,0.05201916495550993,6.05,6.5,6.275,0.24481956359863283,1974.0,1917,308.82000732421875,0.035850000381469724
315.0,2026-06-12,0.05201916495550993,3.9,4.15,4.025,0.233406103515625,1385.0,3697,308.82000732421875,0.035850000381469724
320.0,2026-06-12,0.05201916495550993,2.39,2.61,2.5,0.2310867907714844,9307.0,4824,308.82000732421875,0.035850000381469724
325.0,2026-06-12,0.05201916495550993,1.42,1.57,1.495,0.23023230712890624,1799.0,1686,308.82000732421875,0.035850000381469724
330.0,2026-06-12,0.05201916495550993,0.76,0.92,0.8400000000000001,0.23120885986328127,746.0,1884,308.82000732421875,0.035850000381469724
335.0,2026-06-12,0.05201916495550993,0.38,0.62,0.5,0.24243921630859372,118.0,460,308.82000732421875,0.035850000381469724
340.0,2026-06-12,0.05201916495550993,0.21,0.3,0.255,0.23657989990234374,744.0,559,308.82000732421875,0.035850000381469724
350.0,2026-06-12,0.05201916495550993,0.07,0.22,0.14500000000000002,0.27735097656249996,222.0,128,308.82000732421875,0.035850000381469724
